"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 18 19:13:07 CEST 2022","Tue Oct 18 19:13:19 CEST 2022","12158","","ru.netology.tourPayment.test.PaymentOnCreditTest","","ru.netology.tourPayment.test.PaymentOnCreditTest","shouldRejectionMessageIfPaymentOfCredit","Покупка в кредит запрещённой  картой, отображается сообщение об отказе в операции банком",""
"passed","Tue Oct 18 19:13:35 CEST 2022","Tue Oct 18 19:13:43 CEST 2022","8011","","ru.netology.tourPayment.test.PaymentsOnCardTest","","ru.netology.tourPayment.test.PaymentsOnCardTest","shouldStatusCodeIfTransactionIsSuccessful","Покупка разрешенной картой, статус в базе данных: 'APPROVED'.",""
"failed","Tue Oct 18 19:13:43 CEST 2022","Tue Oct 18 19:13:55 CEST 2022","11919","","ru.netology.tourPayment.test.PaymentsOnCardTest","","ru.netology.tourPayment.test.PaymentsOnCardTest","shouldRejectionMessageIfPaymentOfCard","A message should appear telling you that the operation has been rejected.",""
"passed","Tue Oct 18 19:12:46 CEST 2022","Tue Oct 18 19:13:02 CEST 2022","16536","","ru.netology.tourPayment.test.PaymentOnCreditTest","","ru.netology.tourPayment.test.PaymentOnCreditTest","shouldSuccessMessageIfPaymentOnCredit","Покупка в кредит разрешенной картой, отображается сообщение об одобрении операции банком",""
"passed","Tue Oct 18 19:13:19 CEST 2022","Tue Oct 18 19:13:27 CEST 2022","8203","","ru.netology.tourPayment.test.PaymentsOnCardTest","","ru.netology.tourPayment.test.PaymentsOnCardTest","shouldSuccessMessageIfPaymentOfCard","Покупка разрешенной картой, отображается сообщение об одобрении банком",""
"passed","Tue Oct 18 19:13:27 CEST 2022","Tue Oct 18 19:13:35 CEST 2022","7925","","ru.netology.tourPayment.test.PaymentsOnCardTest","","ru.netology.tourPayment.test.PaymentsOnCardTest","shouldStatusCodeIfTransactionIsUnsuccessful","The status in the database should be 'DECLINED'",""
"passed","Tue Oct 18 19:13:02 CEST 2022","Tue Oct 18 19:13:07 CEST 2022","4682","","ru.netology.tourPayment.test.PaymentOnCreditTest","","ru.netology.tourPayment.test.PaymentOnCreditTest","shouldStatusCodeIfPaymentOnCredit","Покупка в кредит разрешенной картой, статус операции в БД 'APPROVED'",""
